,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Blackburn Hamlet / Pine View / Sheffield Glen,45.4242934,-75.5985003,Royal Oak,45.427108543399584,-75.60127174926222,Pub
1,Blackburn Hamlet / Pine View / Sheffield Glen,45.4242934,-75.5985003,Pineview Golf course,45.42359782626504,-75.5988859767091,Golf Course
2,Blackburn Hamlet / Pine View / Sheffield Glen,45.4242934,-75.5985003,Pineview Park,45.423602893617065,-75.59886905939436,Park
3,Blackburn Hamlet / Pine View / Sheffield Glen,45.4242934,-75.5985003,Circle K,45.4269622,-75.6009808,Convenience Store
4,Blackburn Hamlet / Pine View / Sheffield Glen,45.4242934,-75.5985003,Pineview Pizza,45.4271965435111,-75.60127805957728,Pizza Place
5,Britannia /Whitehaven / Bayshore / Pinecrest,45.3616756,-75.7845033,Dairy Queen,45.36359911022458,-75.7901146300947,Ice Cream Shop
6,Britannia /Whitehaven / Bayshore / Pinecrest,45.3616756,-75.7845033,Biagio's Italian Kitchen,45.364542645646814,-75.78826882574074,Italian Restaurant
7,Britannia /Whitehaven / Bayshore / Pinecrest,45.3616756,-75.7845033,Wendy’s,45.36373905161094,-75.78684761188924,Fast Food Restaurant
8,Britannia /Whitehaven / Bayshore / Pinecrest,45.3616756,-75.7845033,Subway,45.364651646890046,-75.78594434703083,Sandwich Place
9,Britannia /Whitehaven / Bayshore / Pinecrest,45.3616756,-75.7845033,Shoppers Drug Mart,45.362917,-75.790231,Pharmacy
10,Britannia /Whitehaven / Bayshore / Pinecrest,45.3616756,-75.7845033,Buster's Bar and Grill,45.364627754767355,-75.78615526443961,Sports Bar
11,Britannia /Whitehaven / Bayshore / Pinecrest,45.3616756,-75.7845033,OC Transpo Bus 96,45.35947735783257,-75.78667821229534,Bus Line
12,Britannia /Whitehaven / Bayshore / Pinecrest,45.3616756,-75.7845033,Il Paradiso Spa & Tanning,45.36430231268764,-75.78660183965019,Spa
13,Britannia /Whitehaven / Bayshore / Pinecrest,45.3616756,-75.7845033,Moores,45.36475104816987,-75.78528741073445,Men's Store
14,Britannia /Whitehaven / Bayshore / Pinecrest,45.3616756,-75.7845033,McDonald's,45.36231518556564,-75.78940797319012,Fast Food Restaurant
15,Navan,45.4293585,-75.4702252,Quality Moving and Packing,45.432246,-75.471458,Home Service
16,Queenswood,45.4769369,-75.5036813,Queenswood Ridge Park,45.47389747137447,-75.50247416445725,Park
17,Queenswood,45.4769369,-75.5036813,Milano Pizzeria,45.47724614188048,-75.49874769256616,Pizza Place
18,Queenswood,45.4769369,-75.5036813,M&M Food Market,45.477347037809025,-75.49844859513314,Grocery Store
19,Queenswood,45.4769369,-75.5036813,Top of the Hill Bakery,45.47736838116357,-75.49830973148346,Bakery
20,Queenswood,45.4769369,-75.5036813,Circle K,45.4772338,-75.4977959,Convenience Store
21,Eastern Nepean: Fisher Heights/ Parkwood Hills / Borden Farm /Pine Glen ,45.343506,-75.716875,Nita Beer Company,45.3419602359503,-75.71618285497904,Brewery
22,Riverview / Hawthorne / Canterbury / Hunt Club Park,45.3882737,-75.61698829999999,Shell,45.38916716368916,-75.61822301686017,Gas Station
23,Riverview / Hawthorne / Canterbury / Hunt Club Park,45.3882737,-75.61698829999999,Metro Elmvale,45.3893311469529,-75.61899438500404,Supermarket
24,Riverview / Hawthorne / Canterbury / Hunt Club Park,45.3882737,-75.61698829999999,Popeye The chef,45.38930689514923,-75.61723633950865,Fried Chicken Joint
25,"Centrepointe, Meadowlands, City View, Craig Henry, Tangelwood, Grenfell Glen, Davidson Heights",45.3217783,-75.734336,some molten fuckhole,45.322313,-75.729104,Nudist Beach
26,"Centrepointe, Meadowlands, City View, Craig Henry, Tangelwood, Grenfell Glen, Davidson Heights",45.3217783,-75.734336,457 the Edge - Nbs Skatepark,45.322397,-75.7283637,Music Venue
27,Alta Vista / Billings Bridge,45.3854424,-75.6698286,Pelican Fishery & Grill,45.3811598616553,-75.67020404852855,Seafood Restaurant
28,Alta Vista / Billings Bridge,45.3854424,-75.6698286,Hometown Sports & Grill,45.38113241261048,-75.6682527938083,Sports Bar
29,Alta Vista / Billings Bridge,45.3854424,-75.6698286,Second Cup,45.38248368312759,-75.67099617899925,Coffee Shop
30,Alta Vista / Billings Bridge,45.3854424,-75.6698286,Farm Boy,45.38135127044929,-75.66994722327462,Grocery Store
31,Alta Vista / Billings Bridge,45.3854424,-75.6698286,Ten Sushi,45.38188981998737,-75.67045539636345,Japanese Restaurant
32,Alta Vista / Billings Bridge,45.3854424,-75.6698286,TD Canada Trust,45.38677646682304,-75.67582364285278,Bank
